CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
80510325,-25.4198156998607,-49.2790781765687,2,09:10:00,43.04075555999326,81590576,-25.4942162501529,-49.2012669496276,SIM,09:27:00
81590576,-25.4942162501529,-49.2012669496276,2,09:28:00,30,82930428,-25.4555670002028,-49.2033254441496,NÃO,09:36:00
82930428,-25.4555670002028,-49.2033254441496,2,09:37:00,30,80540290,-25.4060056184402,-49.2667691092792,NÃO,09:54:00
80540290,-25.4060056184402,-49.2667691092792,2,09:55:00,30,81280048,-25.4357441112655,-49.361230111158,SIM,10:16:00
81280048,-25.4357441112655,-49.361230111158,2,10:17:00,47.00137278368574,80820480,-25.4089459015341,-49.3017935380524,NÃO,10:26:00
80820480,-25.4089459015341,-49.3017935380524,2,10:27:00,31.747339359274932,81110522,-25.5094403220237,-49.2915096538449,SIM,10:49:00
81110522,-25.5094403220237,-49.2915096538449,2,10:50:00,34.56579506699639,82710082,-25.3647667288143,-49.2518749086381,NÃO,11:19:00
82710082,-25.3647667288143,-49.2518749086381,2,11:20:00,44.76108220010228,82630494,-25.3769201560983,-49.2197021839363,SIM,11:25:00
82630494,-25.3769201560983,-49.2197021839363,2,11:26:00,30,82720240,-25.3649974344476,-49.2309054649185,NÃO,11:30:00
82720240,-25.3649974344476,-49.2309054649185,2,11:31:00,32.32703756861022,81550150,-25.4770778208763,-49.2126543845983,NÃO,11:54:00
81550150,-25.4770778208763,-49.2126543845983,2,11:55:00,30,82220610,-25.3725747859642,-49.2682819283134,SIM,12:22:00
82220610,-25.3725747859642,-49.2682819283134,2,12:23:00,30,81870352,-25.5241770000303,-49.2937684998992,SIM,12:58:00
81870352,-25.5241770000303,-49.2937684998992,2,12:59:00,30,81315685,-25.5115270000027,-49.3255583333193,NÃO,13:06:00
81315685,-25.5115270000027,-49.3255583333193,2,13:07:00,35.69156197205463,80410000,-25.4213661621413,-49.2875646174355,NÃO,13:25:00
80410000,-25.4213661621413,-49.2875646174355,2,13:26:00,38.96804703991563,81610090,-25.4829752828427,-49.2413676273212,SIM,13:40:00
81610090,-25.4829752828427,-49.2413676273212,2,13:41:00,30,81935382,-25.5594363219748,-49.2516978436888,NÃO,13:58:00
81935382,-25.5594363219748,-49.2516978436888,2,13:59:00,30.266644545852,81670110,-25.4977016024349,-49.2505578410785,SIM,14:14:00
81670110,-25.4977016024349,-49.2505578410785,2,14:15:00,30,82415070,-25.3666350000001,-49.3367376666649,SIM,14:50:00
82415070,-25.3666350000001,-49.3367376666649,2,14:51:00,44.93428417968451,80045160,-25.4227240373025,-49.257747950136,NÃO,15:04:00
80045160,-25.4227240373025,-49.257747950136,2,15:05:00,42.551060087939874,82620150,-25.3843628304926,-49.2203917399179,NÃO,15:13:00
82620150,-25.3843628304926,-49.2203917399179,2,15:14:00,30,81070310,-25.4777156282764,-49.3079769301493,SIM,15:42:00
81070310,-25.4777156282764,-49.3079769301493,2,15:43:00,34.00976675157776,82220563,-25.3564836666715,-49.2790128333043,NÃO,16:08:00
82220563,-25.3564836666715,-49.2790128333043,2,16:09:00,34.596967978626125,80060170,-25.4278721677395,-49.2593020468696,SIM,16:24:00
80060170,-25.4278721677395,-49.2593020468696,2,16:25:00,39.59893202085719,81570001,-25.4825630317905,-49.2238324147895,NÃO,16:36:00
81570001,-25.4825630317905,-49.2238324147895,2,16:37:00,30,81250610,-25.4933426909383,-49.3409114723655,SIM,17:01:00
81250610,-25.4933426909383,-49.3409114723655,2,17:02:00,47.07217714812154,82530060,-25.425394880957,-49.2359359145395,NÃO,17:19:00
82530060,-25.425394880957,-49.2359359145395,2,17:20:00,50.947943840535835,82821016,-25.4270763750322,-49.209505500185,NÃO,17:23:00
82821016,-25.4270763750322,-49.209505500185,2,17:24:00,30,80820350,-25.4104868271504,-49.2948596739003,SIM,17:42:00
80820350,-25.4104868271504,-49.2948596739003,2,17:43:00,34.78468088628652,80220200,-25.4672406908201,-49.2801499774178,NÃO,17:55:00
80220200,-25.4672406908201,-49.2801499774178,2,17:56:00,30,81050610,-25.4838938211145,-49.3106146746474,NÃO,18:03:00
81050610,-25.4838938211145,-49.3106146746474,2,18:04:00,35.59016004722708,81940210,-25.5603014782721,-49.2872240368535,SIM,18:20:00
81940210,-25.5603014782721,-49.2872240368535,2,18:21:00,30,81240110,-25.4758162194925,-49.3455733886983,NÃO,18:43:00
81240110,-25.4758162194925,-49.3455733886983,2,18:44:00,50.53005517972539,81510160,-25.4561970876697,-49.2447744337813,SIM,18:57:00
81510160,-25.4561970876697,-49.2447744337813,3,18:58:00,38.665403599184195,81570360,-25.4857325221308,-49.2299521315212,SIM,06:00:00
81570360,-25.4857325221308,-49.2299521315212,3,06:01:00,31.611244507347077,82210230,-25.3823373333611,-49.2634891111916,NÃO,06:23:00
82210230,-25.3823373333611,-49.2634891111916,3,06:24:00,44.750389070335416,82630290,-25.371866280235,-49.2091730004846,SIM,06:33:00
82630290,-25.371866280235,-49.2091730004846,3,06:34:00,30,82320220,-25.4019988462337,-49.3433039997731,NÃO,07:02:00
82320220,-25.4019988462337,-49.3433039997731,3,07:03:00,30,81460235,-25.5296041641745,-49.3384583258202,SIM,07:32:00
81460235,-25.5296041641745,-49.3384583258202,3,07:33:00,43.15157461920966,80620370,-25.4578113636589,-49.2746421817496,NÃO,07:47:00
80620370,-25.4578113636589,-49.2746421817496,3,07:48:00,30,81490170,-25.5871765229344,-49.3233641230418,SIM,08:20:00
81490170,-25.5871765229344,-49.3233641230418,3,08:21:00,46.55910937305046,82820300,-25.4107437445588,-49.2017098689937,SIM,08:51:00
82820300,-25.4107437445588,-49.2017098689937,3,08:52:00,30,81910550,-25.5343119298378,-49.2590953391986,SIM,09:23:00
81910550,-25.5343119298378,-49.2590953391986,3,09:24:00,30,81880380,-25.5395481532947,-49.2924784574248,NÃO,09:31:00
81880380,-25.5395481532947,-49.2924784574248,3,09:32:00,30,81945040,-25.6022235414387,-49.3138372232201,NÃO,09:47:00
81945040,-25.6022235414387,-49.3138372232201,3,09:48:00,46.84432611900324,82990150,-25.4599432722975,-49.1940915354714,SIM,10:14:00
82990150,-25.4599432722975,-49.1940915354714,3,10:15:00,30,81265330,-25.4702238422545,-49.3713250851996,SIM,10:52:00
81265330,-25.4702238422545,-49.3713250851996,3,10:53:00,42.593727374048,82930370,-25.4627990031427,-49.2053096781914,NÃO,11:16:00
82930370,-25.4627990031427,-49.2053096781914,3,11:17:00,30,80510360,-25.4193944591681,-49.2858097118247,SIM,11:37:00
80510360,-25.4193944591681,-49.2858097118247,3,11:38:00,32.1348030455586,80010040,-25.433306347953,-49.2586024190518,NÃO,11:44:00
80010040,-25.433306347953,-49.2586024190518,3,11:45:00,30,81452040,-25.4998370213564,-49.3545044201704,SIM,12:10:00
81452040,-25.4998370213564,-49.3545044201704,3,12:11:00,36.761658705171776,82980600,-25.4666337593647,-49.1916779820241,NÃO,12:39:00
82980600,-25.4666337593647,-49.1916779820241,3,12:40:00,30,81770140,-25.5277922333666,-49.2459991910781,SIM,12:58:00
81770140,-25.5277922333666,-49.2459991910781,3,12:59:00,34.94680188979143,80030200,-25.4196624320568,-49.2602838398977,NÃO,13:20:00
80030200,-25.4196624320568,-49.2602838398977,3,13:21:00,35.95046247716056,80040150,-25.419191727292,-49.2505313635874,NÃO,13:22:00
80040150,-25.419191727292,-49.2505313635874,3,13:23:00,30,81650050,-25.4935107881037,-49.2359919665457,SIM,13:41:00
81650050,-25.4935107881037,-49.2359919665457,3,13:42:00,30,81320290,-25.4748252660661,-49.3107362306741,NÃO,13:58:00
81320290,-25.4748252660661,-49.3107362306741,3,13:59:00,36.19034092750285,81540160,-25.4663186667815,-49.2166009443659,SIM,14:16:00
81540160,-25.4663186667815,-49.2166009443659,3,14:17:00,30,81170755,-25.5160188418949,-49.3308090343913,NÃO,14:42:00
81170755,-25.5160188418949,-49.3308090343913,3,14:43:00,30,81260430,-25.4650355019742,-49.3605952475877,SIM,14:57:00
81260430,-25.4650355019742,-49.3605952475877,3,14:58:00,30,82310433,-25.43107,-49.372483,NÃO,15:06:00
82310433,-25.43107,-49.372483,3,15:07:00,38.412673554569494,81170762,-25.51557721054,-49.3290638947933,NÃO,15:23:00
81170762,-25.51557721054,-49.3290638947933,3,15:24:00,30,81470290,-25.5737515550149,-49.3412589936849,SIM,15:38:00
81470290,-25.5737515550149,-49.3412589936849,3,15:39:00,45.914328011103734,81560250,-25.4891353622078,-49.2181798796427,NÃO,15:59:00
81560250,-25.4891353622078,-49.2181798796427,3,16:00:00,30,81520250,-25.4595564842104,-49.2411990341756,SIM,16:09:00
81520250,-25.4595564842104,-49.2411990341756,3,16:10:00,30,82710330,-25.3530998572423,-49.2583428932106,NÃO,16:34:00
82710330,-25.3530998572423,-49.2583428932106,3,16:35:00,30,80710600,-25.4224698510365,-49.3006978054742,SIM,16:54:00
80710600,-25.4224698510365,-49.3006978054742,3,16:55:00,30,81470300,-25.575776177431,-49.3365443994341,SIM,17:31:00
81470300,-25.575776177431,-49.3365443994341,3,17:32:00,39.609515770472804,81520300,-25.4623570695212,-49.2422078636873,NÃO,17:56:00
81520300,-25.4623570695212,-49.2422078636873,3,17:57:00,41.88174394424041,81560730,-25.476983000057,-49.2242420001757,NÃO,18:00:00
81560730,-25.476983000057,-49.2242420001757,3,18:01:00,30,81530380,-25.4625848305665,-49.2300931009572,SIM,18:06:00
81530380,-25.4625848305665,-49.2300931009572,3,18:07:00,32.44428287015837,82630100,-25.3812692780083,-49.2161803524462,NÃO,18:24:00
82630100,-25.3812692780083,-49.2161803524462,3,18:25:00,30,80030430,-25.4146322176159,-49.2550561883948,NÃO,18:35:00
80030430,-25.4146322176159,-49.2550561883948,4,18:36:00,30.576199094326633,81935446,-25.5561318634792,-49.2494041568186,SIM,06:00:00
81935446,-25.5561318634792,-49.2494041568186,4,06:01:00,30,82515190,-25.399238,-49.229496,SIM,06:37:00
82515190,-25.399238,-49.229496,4,06:38:00,31.582642942341458,81510390,-25.4685143295265,-49.2421165124832,NÃO,06:52:00
81510390,-25.4685143295265,-49.2421165124832,4,06:53:00,30.490434748530486,82100440,-25.3942804783177,-49.2932765649519,SIM,07:14:00
82100440,-25.3942804783177,-49.2932765649519,4,07:15:00,31.822142491584916,80310110,-25.4618760201347,-49.3131981040754,NÃO,07:29:00
80310110,-25.4618760201347,-49.3131981040754,4,07:30:00,30,81020420,-25.4920196819718,-49.2840872729491,NÃO,07:39:00
81020420,-25.4920196819718,-49.2840872729491,4,07:40:00,30,81610020,-25.4773976954983,-49.2479963707565,SIM,07:49:00
81610020,-25.4773976954983,-49.2479963707565,4,07:50:00,30.902566478403976,80730450,-25.4295930000255,-49.2924205417543,NÃO,08:04:00
80730450,-25.4295930000255,-49.2924205417543,4,08:05:00,30,80035210,-25.4018593540355,-49.2501065029327,NÃO,08:15:00
80035210,-25.4018593540355,-49.2501065029327,4,08:16:00,30,82840120,-25.4055829533743,-49.2167226661471,SIM,08:24:00
82840120,-25.4055829533743,-49.2167226661471,4,08:25:00,31.624601120330283,82220133,-25.3760098333463,-49.2639595000711,NÃO,08:36:00
82220133,-25.3760098333463,-49.2639595000711,4,08:37:00,30.658494414859227,80215542,-25.4467561755521,-49.2503976846901,NÃO,08:52:00
80215542,-25.4467561755521,-49.2503976846901,4,08:53:00,30.23859822989187,81570092,-25.47733771481,-49.2394309559741,SIM,09:02:00
81570092,-25.47733771481,-49.2394309559741,4,09:03:00,30,80215650,-25.4484380190541,-49.2490664368478,NÃO,09:09:00
80215650,-25.4484380190541,-49.2490664368478,4,09:10:00,31.09517613712277,82410510,-25.3732418954991,-49.3291631561723,SIM,09:34:00
82410510,-25.3732418954991,-49.3291631561723,4,09:35:00,30,80810070,-25.4171734750828,-49.2912702953003,NÃO,09:47:00
80810070,-25.4171734750828,-49.2912702953003,4,09:48:00,31.92986911056016,81050637,-25.4835295000015,-49.3145007999984,NÃO,10:03:00
81050637,-25.4835295000015,-49.3145007999984,4,10:04:00,30,82810080,-25.4396831550178,-49.213992719196,SIM,10:27:00
82810080,-25.4396831550178,-49.213992719196,4,10:28:00,32.712279256759906,81200400,-25.4338997893551,-49.3437087449233,NÃO,10:52:00
81200400,-25.4338997893551,-49.3437087449233,4,10:53:00,30,81520290,-25.4627057622716,-49.2410266625473,SIM,11:16:00
81520290,-25.4627057622716,-49.2410266625473,4,11:17:00,34.60870689365819,81910030,-25.5361378385276,-49.2685374132639,NÃO,11:32:00
81910030,-25.5361378385276,-49.2685374132639,4,11:33:00,34.42181370411099,81170065,-25.5110533750523,-49.3200841245732,NÃO,11:43:00
81170065,-25.5110533750523,-49.3200841245732,4,11:44:00,30,80440090,-25.4443285001079,-49.2916224997606,SIM,12:01:00
80440090,-25.4443285001079,-49.2916224997606,4,12:02:00,30.108136788204742,81920747,-25.5329949004335,-49.2526856997565,NÃO,12:23:00
81920747,-25.5329949004335,-49.2526856997565,4,12:24:00,31.7006670131205,81210070,-25.4427148131246,-49.3268133751402,SIM,12:49:00
81210070,-25.4427148131246,-49.3268133751402,4,12:50:00,35.82780500983613,81280190,-25.4369027676958,-49.3594793608748,NÃO,12:55:00
81280190,-25.4369027676958,-49.3594793608748,4,12:56:00,30,82130282,-25.3808727224324,-49.2743298330015,NÃO,13:17:00
82130282,-25.3808727224324,-49.2743298330015,4,13:18:00,30,82130162,-25.3808898753791,-49.2691345002354,SIM,13:20:00
82130162,-25.3808898753791,-49.2691345002354,4,13:21:00,32.53217223327883,80010010,-25.4267759520353,-49.2679877486134,NÃO,13:31:00
80010010,-25.4267759520353,-49.2679877486134,4,13:32:00,32.32328736225672,81910390,-25.5316857069475,-49.261658650228,SIM,13:54:00
81910390,-25.5316857069475,-49.261658650228,4,13:55:00,36.99369364603192,81460140,-25.5504730020315,-49.3064697407443,NÃO,14:04:00
81460140,-25.5504730020315,-49.3064697407443,4,14:05:00,30,81710590,-25.5021303917908,-49.2606525653797,NÃO,14:19:00
81710590,-25.5021303917908,-49.2606525653797,4,14:20:00,33.621603538322745,81130270,-25.5076616583274,-49.3009496047833,SIM,14:28:00
81130270,-25.5076616583274,-49.3009496047833,4,14:29:00,30,82015100,-25.4177303741766,-49.3254408265132,NÃO,14:50:00
82015100,-25.4177303741766,-49.3254408265132,4,14:51:00,35.798186240787594,81880240,-25.5404745077498,-49.2975794776044,SIM,15:15:00
81880240,-25.5404745077498,-49.2975794776044,4,15:16:00,30,81452334,-25.5061884000766,-49.3539056000423,NÃO,15:30:00
81452334,-25.5061884000766,-49.3539056000423,4,15:31:00,30,81270220,-25.4591060306723,-49.3531713829059,NÃO,15:41:00
81270220,-25.4591060306723,-49.3531713829059,4,15:42:00,30,82520040,-25.413549500017,-49.2301156541579,SIM,16:10:00
82520040,-25.413549500017,-49.2301156541579,4,16:11:00,36.76111419876763,81170662,-25.5172792272985,-49.3183728182903,NÃO,16:35:00
81170662,-25.5172792272985,-49.3183728182903,4,16:36:00,30,81260210,-25.4862514891775,-49.350391101116,SIM,16:46:00
81260210,-25.4862514891775,-49.350391101116,4,16:47:00,30,82200216,-25.3890870000006,-49.270339250004,NÃO,17:14:00
82200216,-25.3890870000006,-49.270339250004,4,17:15:00,35.739859836976656,81590210,-25.4814447782289,-49.198611250503,SIM,17:37:00
81590210,-25.4814447782289,-49.198611250503,4,17:38:00,30,81280125,-25.4406127564945,-49.3601132684004,SIM,18:13:00
81280125,-25.4406127564945,-49.3601132684004,4,18:14:00,39.994878285403644,80250085,-25.4428916686675,-49.2805507832172,NÃO,18:26:00
80250085,-25.4428916686675,-49.2805507832172,4,18:27:00,39.41778027325763,82960488,-25.4654066369594,-49.210649939143,NÃO,18:38:00
82960488,-25.4654066369594,-49.210649939143,4,18:39:00,30,80520550,-25.403621771614,-49.2770964271839,SIM,18:59:00
