CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81935113,-25.5499175384761,-49.253610923113,3,10:37:00,42,82700410,-25.3740192069561,-49.2513782763024,NÃO,11:05:00
82700410,-25.3740192069561,-49.2513782763024,3,11:06:00,30,81170762,-25.51557721054,-49.3290638947933,SIM,11:41:00
81170762,-25.51557721054,-49.3290638947933,3,11:42:00,30,81460210,-25.5323146848334,-49.3335573678969,NÃO,11:46:00
81460210,-25.5323146848334,-49.3335573678969,3,11:47:00,35,82015720,-25.4187128462549,-49.3341400767781,NÃO,12:08:00
82015720,-25.4187128462549,-49.3341400767781,3,12:09:00,37,82620150,-25.3843628304926,-49.2203917399179,SIM,12:29:00
82620150,-25.3843628304926,-49.2203917399179,3,12:30:00,30,81480170,-25.5633003333374,-49.3185828888561,SIM,13:14:00
81480170,-25.5633003333374,-49.3185828888561,3,13:15:00,36,81935474,-25.5506130891455,-49.245334911631,NÃO,13:28:00
81935474,-25.5506130891455,-49.245334911631,3,13:29:00,35,82720410,-25.3531644337776,-49.232263242608,SIM,14:07:00
82720410,-25.3531644337776,-49.232263242608,3,14:08:00,30,81010170,-25.4783570614136,-49.2757205974116,NÃO,14:37:00
81010170,-25.4783570614136,-49.2757205974116,3,14:38:00,30,80820500,-25.4107702686398,-49.3021048645381,SIM,14:54:00
80820500,-25.4107702686398,-49.3021048645381,3,14:55:00,30,81350686,-25.4936598469491,-49.3400481020638,NÃO,15:15:00
81350686,-25.4936598469491,-49.3400481020638,3,15:16:00,40,82220142,-25.3755612295988,-49.2640974005018,SIM,15:39:00
82220142,-25.3755612295988,-49.2640974005018,3,15:40:00,30,81310370,-25.5005119473929,-49.3186624209516,NÃO,16:09:00
81310370,-25.5005119473929,-49.3186624209516,3,16:10:00,40,80030200,-25.4196624320568,-49.2602838398977,SIM,16:27:00
80030200,-25.4196624320568,-49.2602838398977,3,16:28:00,30,80440020,-25.4428337956861,-49.300747838027,NÃO,16:37:00
80440020,-25.4428337956861,-49.300747838027,3,16:38:00,30,81450310,-25.4928927891057,-49.3482807107009,NÃO,16:53:00
81450310,-25.4928927891057,-49.3482807107009,3,16:54:00,49,81020420,-25.4920196819718,-49.2840872729491,SIM,17:02:00
81020420,-25.4920196819718,-49.2840872729491,3,17:03:00,30,82030020,-25.3946174297227,-49.3162606368294,NÃO,17:25:00
